Date,Open, High,Low,Close, AdjClose ,Volume
"Jan 3, 2025,""243.36"",""244.18"",""241.89"",""243.36"",""242.77"",""40,244,100"""
"Jan 2, 2025,""248.93"",""249.10"",""241.82"",""243.85"",""243.26"",""55,740,700"""
"Dec 31, 2024,""252.44"",""253.28"",""249.43"",""250.42"",""249.82"",""39,480,700"""
"Dec 30, 2024,""252.23"",""253.50"",""250.75"",""252.20"",""251.59"",""35,557,500"""
"Dec 27, 2024,""257.83"",""258.70"",""253.06"",""255.59"",""254.97"",""42,355,300"""
"Dec 26, 2024,""258.19"",""260.10"",""257.63"",""259.02"",""258.40"",""27,237,100"""
"Dec 24, 2024,""255.49"",""258.21"",""255.29"",""258.20"",""257.58"",""23,234,700"""
"Dec 23, 2024,""254.77"",""255.65"",""253.45"",""255.27"",""254.66"",""40,858,800"""
"Dec 20, 2024,""248.04"",""255.00"",""245.69"",""254.49"",""253.88"",""147,495,300"""
"Dec 19, 2024,""247.50"",""252.00"",""247.09"",""249.79"",""249.19"",""60,882,300"""
"Dec 18, 2024,""252.16"",""254.28"",""247.74"",""248.05"",""247.45"",""56,774,100"""
"Dec 17, 2024,""250.08"",""253.83"",""249.78"",""253.48"",""252.87"",""51,356,400"""
"Dec 16, 2024,""247.99"",""251.38"",""247.65"",""251.04"",""250.44"",""51,694,800"""
"Dec 13, 2024,""247.82"",""249.29"",""246.24"",""248.13"",""247.53"",""33,155,300"""
"Dec 12, 2024,""246.89"",""248.74"",""245.68"",""247.96"",""247.36"",""32,777,500"""
"Dec 11, 2024,""247.96"",""250.80"",""246.26"",""246.49"",""245.90"",""45,205,800"""
"Dec 10, 2024,""246.89"",""248.21"",""245.34"",""247.77"",""247.17"",""36,914,800"""
"Dec 9, 2024,""241.83"",""247.24"",""241.75"",""246.75"",""246.16"",""44,649,200"""
"Dec 6, 2024,""242.91"",""244.63"",""242.08"",""242.84"",""242.26"",""36,870,600"""
"Dec 5, 2024,""243.99"",""244.54"",""242.13"",""243.04"",""242.46"",""40,033,900"""
"Dec 4, 2024,""242.87"",""244.11"",""241.25"",""243.01"",""242.43"",""44,383,900"""
"Dec 3, 2024,""239.81"",""242.76"",""238.90"",""242.65"",""242.07"",""38,861,000"""
"Dec 2, 2024,""237.27"",""240.79"",""237.16"",""239.59"",""239.01"",""48,137,100"""
"Nov 29, 2024,""234.81"",""237.81"",""233.97"",""237.33"",""236.76"",""28,481,400"""
"Nov 27, 2024,""234.47"",""235.69"",""233.81"",""234.93"",""234.36"",""33,498,400"""
"Nov 26, 2024,""233.33"",""235.57"",""233.33"",""235.06"",""234.49"",""45,986,200"""
"Nov 25, 2024,""231.46"",""233.25"",""229.74"",""232.87"",""232.31"",""90,152,800"""
"Nov 22, 2024,""228.06"",""230.72"",""228.06"",""229.87"",""229.32"",""38,168,300"""
"Nov 21, 2024,""228.88"",""230.16"",""225.71"",""228.52"",""227.97"",""42,108,300"""
"Nov 20, 2024,""228.06"",""229.93"",""225.89"",""229.00"",""228.45"",""35,169,600"""
"Nov 19, 2024,""226.98"",""230.16"",""226.66"",""228.28"",""227.73"",""36,211,800"""
"Nov 18, 2024,""225.25"",""229.74"",""225.17"",""228.02"",""227.47"",""44,686,000"""
"Nov 15, 2024,""226.40"",""226.92"",""224.27"",""225.00"",""224.46"",""47,923,700"""
"Nov 14, 2024,""225.02"",""228.87"",""225.00"",""228.22"",""227.67"",""44,923,900"""
"Nov 13, 2024,""224.01"",""226.65"",""222.76"",""225.12"",""224.58"",""48,566,200"""
"Nov 12, 2024,""224.55"",""225.59"",""223.36"",""224.23"",""223.69"",""40,398,300"""
"Nov 11, 2024,""225.00"",""225.70"",""221.50"",""224.23"",""223.69"",""42,005,600"""
"Nov 8, 2024,""0.25"","""","""","""","""","""""
"Nov 8, 2024,""227.17"",""228.66"",""226.41"",""226.96"",""226.41"",""38,328,800"""
"Nov 7, 2024,""224.63"",""227.88"",""224.57"",""227.48"",""226.68"",""42,137,700"""
"Nov 6, 2024,""222.61"",""226.07"",""221.19"",""222.72"",""221.94"",""54,561,100"""
"Nov 5, 2024,""221.80"",""223.95"",""221.14"",""223.45"",""222.67"",""28,111,300"""
"Nov 4, 2024,""220.99"",""222.79"",""219.71"",""222.01"",""221.23"",""44,944,500"""
"Nov 1, 2024,""220.97"",""225.35"",""220.27"",""222.91"",""222.13"",""65,276,700"""
"Oct 31, 2024,""229.34"",""229.83"",""225.37"",""225.91"",""225.12"",""64,370,100"""
"Oct 30, 2024,""232.61"",""233.47"",""229.55"",""230.10"",""229.29"",""47,070,900"""
"Oct 29, 2024,""233.10"",""234.33"",""232.32"",""233.67"",""232.85"",""35,417,200"""
"Oct 28, 2024,""233.32"",""234.73"",""232.55"",""233.40"",""232.58"",""36,087,100"""
"Oct 25, 2024,""229.74"",""233.22"",""229.57"",""231.41"",""230.60"",""38,802,300"""
"Oct 24, 2024,""229.98"",""230.82"",""228.41"",""230.57"",""229.76"",""31,109,500"""
"Oct 23, 2024,""234.08"",""235.14"",""227.76"",""230.76"",""229.95"",""52,287,000"""
"Oct 22, 2024,""233.89"",""236.22"",""232.60"",""235.86"",""235.03"",""38,846,600"""
"Oct 21, 2024,""234.45"",""236.85"",""234.45"",""236.48"",""235.65"",""36,254,500"""
"Oct 18, 2024,""236.18"",""236.18"",""234.01"",""235.00"",""234.18"",""46,431,500"""
"Oct 17, 2024,""233.43"",""233.85"",""230.52"",""232.15"",""231.34"",""32,993,800"""
"Oct 16, 2024,""231.60"",""232.12"",""229.84"",""231.78"",""230.97"",""34,082,200"""
"Oct 15, 2024,""233.61"",""237.49"",""232.37"",""233.85"",""233.03"",""64,751,400"""
"Oct 14, 2024,""228.70"",""231.73"",""228.60"",""231.30"",""230.49"",""39,882,100"""
"Oct 11, 2024,""229.30"",""229.41"",""227.34"",""227.55"",""226.75"",""31,759,200"""
"Oct 10, 2024,""227.78"",""229.50"",""227.17"",""229.04"",""228.24"",""28,183,500"""
"Oct 9, 2024,""225.23"",""229.75"",""224.83"",""229.54"",""228.74"",""33,591,100"""
"Oct 8, 2024,""224.30"",""225.98"",""223.25"",""225.77"",""224.98"",""31,855,700"""
"Oct 7, 2024,""224.50"",""225.69"",""221.33"",""221.69"",""220.91"",""39,505,400"""
"Oct 4, 2024,""227.90"",""228.00"",""224.13"",""226.80"",""226.01"",""37,245,100"""
"Oct 3, 2024,""225.14"",""226.81"",""223.32"",""225.67"",""224.88"",""34,044,200"""
"Oct 2, 2024,""225.89"",""227.37"",""223.02"",""226.78"",""225.99"",""32,880,600"""
"Oct 1, 2024,""229.52"",""229.65"",""223.74"",""226.21"",""225.42"",""63,285,000"""
"Sep 30, 2024,""230.04"",""233.00"",""229.65"",""233.00"",""232.18"",""54,541,900"""
"Sep 27, 2024,""228.46"",""229.52"",""227.30"",""227.79"",""226.99"",""34,026,000"""
"Sep 26, 2024,""227.30"",""228.50"",""225.41"",""227.52"",""226.72"",""36,636,700"""
"Sep 25, 2024,""224.93"",""227.29"",""224.02"",""226.37"",""225.58"",""42,308,700"""
"Sep 24, 2024,""228.65"",""229.35"",""225.73"",""227.37"",""226.57"",""43,556,100"""
"Sep 23, 2024,""227.34"",""229.45"",""225.81"",""226.47"",""225.68"",""54,146,000"""
"Sep 20, 2024,""229.97"",""233.09"",""227.62"",""228.20"",""227.40"",""318,679,900"""
"Sep 19, 2024,""224.99"",""229.82"",""224.63"",""228.87"",""228.07"",""66,781,300"""
"Sep 18, 2024,""217.55"",""222.71"",""217.54"",""220.69"",""219.92"",""59,894,900"""
"Sep 17, 2024,""215.75"",""216.90"",""214.50"",""216.79"",""216.03"",""45,519,300"""
"Sep 16, 2024,""216.54"",""217.22"",""213.92"",""216.32"",""215.56"",""59,357,400"""
"Sep 13, 2024,""223.58"",""224.04"",""221.91"",""222.50"",""221.72"",""36,766,600"""
"Sep 12, 2024,""222.50"",""223.55"",""219.82"",""222.77"",""221.99"",""37,498,200"""
"Sep 11, 2024,""221.46"",""223.09"",""217.89"",""222.66"",""221.88"",""44,587,100"""
"Sep 10, 2024,""218.92"",""221.48"",""216.73"",""220.11"",""219.34"",""51,591,000"""
"Sep 9, 2024,""220.82"",""221.27"",""216.71"",""220.91"",""220.14"",""67,180,000"""
"Sep 6, 2024,""223.95"",""225.24"",""219.77"",""220.82"",""220.05"",""48,423,000"""
"Sep 5, 2024,""221.63"",""225.48"",""221.52"",""222.38"",""221.60"",""36,615,400"""
"Sep 4, 2024,""221.66"",""221.78"",""217.48"",""220.85"",""220.08"",""43,840,200"""
"Sep 3, 2024,""228.55"",""229.00"",""221.17"",""222.77"",""221.99"",""50,190,600"""
"Aug 30, 2024,""230.19"",""230.40"",""227.48"",""229.00"",""228.20"",""52,990,800"""
"Aug 29, 2024,""230.10"",""232.92"",""228.88"",""229.79"",""228.99"",""51,906,300"""
"Aug 28, 2024,""227.92"",""229.86"",""225.68"",""226.49"",""225.70"",""38,052,200"""
"Aug 27, 2024,""226.00"",""228.85"",""224.89"",""228.03"",""227.23"",""35,934,600"""
"Aug 26, 2024,""226.76"",""227.28"",""223.89"",""227.18"",""226.38"",""30,602,200"""
"Aug 23, 2024,""225.66"",""228.22"",""224.33"",""226.84"",""226.05"",""38,677,300"""
"Aug 22, 2024,""227.79"",""228.34"",""223.90"",""224.53"",""223.74"",""43,695,300"""
"Aug 21, 2024,""226.52"",""227.98"",""225.05"",""226.40"",""225.61"",""34,765,500"""
"Aug 20, 2024,""225.77"",""227.17"",""225.45"",""226.51"",""225.72"",""30,299,000"""
"Aug 19, 2024,""225.72"",""225.99"",""223.04"",""225.89"",""225.10"",""40,687,800"""
"Aug 16, 2024,""223.92"",""226.83"",""223.65"",""226.05"",""225.26"",""44,340,200"""
"Aug 15, 2024,""224.60"",""225.35"",""222.76"",""224.72"",""223.93"",""46,414,000"""
"Aug 14, 2024,""220.57"",""223.03"",""219.70"",""221.72"",""220.94"",""41,960,600"""
"Aug 13, 2024,""219.01"",""221.89"",""219.01"",""221.27"",""220.49"",""44,155,300"""
"Aug 12, 2024,""0.25"","""","""","""","""","""""
"Aug 12, 2024,""216.07"",""219.51"",""215.60"",""217.53"",""216.77"",""38,028,100"""
"Aug 9, 2024,""212.10"",""216.78"",""211.97"",""216.24"",""215.23"",""42,201,600"""
"Aug 8, 2024,""213.11"",""214.20"",""208.83"",""213.31"",""212.32"",""47,161,100"""
"Aug 7, 2024,""206.90"",""213.64"",""206.39"",""209.82"",""208.84"",""63,516,400"""
"Aug 6, 2024,""205.30"",""209.99"",""201.07"",""207.23"",""206.27"",""69,660,500"""
"Aug 5, 2024,""199.09"",""213.50"",""196.00"",""209.27"",""208.30"",""119,548,600"""
"Aug 2, 2024,""219.15"",""225.60"",""217.71"",""219.86"",""218.84"",""105,568,600"""
"Aug 1, 2024,""224.37"",""224.48"",""217.02"",""218.36"",""217.34"",""62,501,000"""
"Jul 31, 2024,""221.44"",""223.82"",""220.63"",""222.08"",""221.05"",""50,036,300"""
"Jul 30, 2024,""219.19"",""220.33"",""216.12"",""218.80"",""217.78"",""41,643,800"""
"Jul 29, 2024,""216.96"",""219.30"",""215.75"",""218.24"",""217.22"",""36,311,800"""
"Jul 26, 2024,""218.70"",""219.49"",""216.01"",""217.96"",""216.95"",""41,601,300"""
"Jul 25, 2024,""218.93"",""220.85"",""214.62"",""217.49"",""216.48"",""51,391,200"""
"Jul 24, 2024,""224.00"",""224.80"",""217.13"",""218.54"",""217.52"",""61,777,600"""
"Jul 23, 2024,""224.37"",""226.94"",""222.68"",""225.01"",""223.96"",""39,960,300"""
"Jul 22, 2024,""227.01"",""227.78"",""223.09"",""223.96"",""222.92"",""48,201,800"""
"Jul 19, 2024,""224.82"",""226.80"",""223.28"",""224.31"",""223.27"",""49,151,500"""
"Jul 18, 2024,""230.28"",""230.44"",""222.27"",""224.18"",""223.14"",""66,034,600"""
"Jul 17, 2024,""229.45"",""231.46"",""226.64"",""228.88"",""227.81"",""57,345,900"""
"Jul 16, 2024,""235.00"",""236.27"",""232.33"",""234.82"",""233.73"",""43,234,300"""
"Jul 15, 2024,""236.48"",""237.23"",""233.09"",""234.40"",""233.31"",""62,631,300"""
"Jul 12, 2024,""228.92"",""232.64"",""228.68"",""230.54"",""229.47"",""53,046,500"""
"Jul 11, 2024,""231.39"",""232.39"",""225.77"",""227.57"",""226.51"",""64,710,600"""
"Jul 10, 2024,""229.30"",""233.08"",""229.25"",""232.98"",""231.90"",""62,627,700"""
"Jul 9, 2024,""227.93"",""229.40"",""226.37"",""228.68"",""227.62"",""48,076,100"""
"Jul 8, 2024,""227.09"",""227.85"",""223.25"",""227.82"",""226.76"",""59,085,900"""
"Jul 5, 2024,""221.65"",""226.45"",""221.65"",""226.34"",""225.29"",""60,412,400"""
"Jul 3, 2024,""220.00"",""221.55"",""219.03"",""221.55"",""220.52"",""37,369,800"""
"Jul 2, 2024,""216.15"",""220.38"",""215.10"",""220.27"",""219.24"",""58,046,200"""
"Jul 1, 2024,""212.09"",""217.51"",""211.92"",""216.75"",""215.74"",""60,402,900"""
"Jun 28, 2024,""215.77"",""216.07"",""210.30"",""210.62"",""209.64"",""82,542,700"""
"Jun 27, 2024,""214.69"",""215.74"",""212.35"",""214.10"",""213.10"",""49,772,700"""
"Jun 26, 2024,""211.50"",""214.86"",""210.64"",""213.25"",""212.26"",""66,213,200"""
"Jun 25, 2024,""209.15"",""211.38"",""208.61"",""209.07"",""208.10"",""56,713,900"""
"Jun 24, 2024,""207.72"",""212.70"",""206.59"",""208.14"",""207.17"",""80,727,000"""
"Jun 21, 2024,""210.39"",""211.89"",""207.11"",""207.49"",""206.52"",""246,421,400"""
"Jun 20, 2024,""213.93"",""214.24"",""208.85"",""209.68"",""208.70"",""86,172,500"""
"Jun 18, 2024,""217.59"",""218.63"",""213.00"",""214.29"",""213.29"",""79,943,300"""
"Jun 17, 2024,""213.37"",""218.95"",""212.72"",""216.67"",""215.66"",""93,728,300"""
"Jun 14, 2024,""213.85"",""215.17"",""211.30"",""212.49"",""211.50"",""70,122,700"""
"Jun 13, 2024,""214.74"",""216.75"",""211.60"",""214.24"",""213.24"",""97,862,700"""
"Jun 12, 2024,""207.37"",""220.20"",""206.90"",""213.07"",""212.08"",""198,134,300"""
"Jun 11, 2024,""193.65"",""207.16"",""193.63"",""207.15"",""206.19"",""172,373,300"""
"Jun 10, 2024,""196.90"",""197.30"",""192.15"",""193.12"",""192.22"",""97,262,100"""
"Jun 7, 2024,""194.65"",""196.94"",""194.14"",""196.89"",""195.97"",""53,103,900"""
"Jun 6, 2024,""195.69"",""196.50"",""194.17"",""194.48"",""193.57"",""41,181,800"""
"Jun 5, 2024,""195.40"",""196.90"",""194.87"",""195.87"",""194.96"",""54,156,800"""
"Jun 4, 2024,""194.64"",""195.32"",""193.03"",""194.35"",""193.45"",""47,471,400"""
"Jun 3, 2024,""192.90"",""194.99"",""192.52"",""194.03"",""193.13"",""50,080,500"""
"May 31, 2024,""191.44"",""192.57"",""189.91"",""192.25"",""191.36"",""75,158,300"""
"May 30, 2024,""190.76"",""192.18"",""190.63"",""191.29"",""190.40"",""49,947,900"""
"May 29, 2024,""189.61"",""192.25"",""189.51"",""190.29"",""189.40"",""53,068,000"""
"May 28, 2024,""191.51"",""193.00"",""189.10"",""189.99"",""189.11"",""52,280,100"""
"May 24, 2024,""188.82"",""190.58"",""188.04"",""189.98"",""189.10"",""36,294,600"""
"May 23, 2024,""190.98"",""191.00"",""186.63"",""186.88"",""186.01"",""51,005,900"""
"May 22, 2024,""192.27"",""192.82"",""190.27"",""190.90"",""190.01"",""34,648,500"""
"May 21, 2024,""191.09"",""192.73"",""190.92"",""192.35"",""191.45"",""42,309,400"""
"May 20, 2024,""189.33"",""191.92"",""189.01"",""191.04"",""190.15"",""44,361,300"""
"May 17, 2024,""189.51"",""190.81"",""189.18"",""189.87"",""188.99"",""41,282,900"""
"May 16, 2024,""190.47"",""191.10"",""189.66"",""189.84"",""188.96"",""52,845,200"""
"May 15, 2024,""187.91"",""190.65"",""187.37"",""189.72"",""188.84"",""70,400,000"""
"May 14, 2024,""187.51"",""188.30"",""186.29"",""187.43"",""186.56"",""52,393,600"""
"May 13, 2024,""185.44"",""187.10"",""184.62"",""186.28"",""185.41"",""72,044,800"""
"May 10, 2024,""0.25"","""","""","""","""","""""
"May 10, 2024,""184.90"",""185.09"",""182.13"",""183.05"",""182.20"",""50,759,500"""
"May 9, 2024,""182.56"",""184.66"",""182.11"",""184.57"",""183.46"",""48,983,000"""
"May 8, 2024,""182.85"",""183.07"",""181.45"",""182.74"",""181.64"",""45,057,100"""
"May 7, 2024,""183.45"",""184.90"",""181.32"",""182.40"",""181.31"",""77,305,800"""
"May 6, 2024,""182.35"",""184.20"",""180.42"",""181.71"",""180.62"",""78,569,700"""
"May 3, 2024,""186.65"",""187.00"",""182.66"",""183.38"",""182.28"",""163,224,100"""
"May 2, 2024,""172.51"",""173.42"",""170.89"",""173.03"",""171.99"",""94,214,900"""
"May 1, 2024,""169.58"",""172.71"",""169.11"",""169.30"",""168.28"",""50,383,100"""
"Apr 30, 2024,""173.33"",""174.99"",""170.00"",""170.33"",""169.31"",""65,934,800"""
"Apr 29, 2024,""173.37"",""176.03"",""173.10"",""173.50"",""172.46"",""68,169,400"""
"Apr 26, 2024,""169.88"",""171.34"",""169.18"",""169.30"",""168.28"",""44,838,400"""
"Apr 25, 2024,""169.53"",""170.61"",""168.15"",""169.89"",""168.87"",""50,558,300"""
"Apr 24, 2024,""166.54"",""169.30"",""166.21"",""169.02"",""168.01"",""48,251,800"""
"Apr 23, 2024,""165.35"",""167.05"",""164.92"",""166.90"",""165.90"",""49,537,800"""
"Apr 22, 2024,""165.52"",""167.26"",""164.77"",""165.84"",""164.84"",""48,116,400"""
"Apr 19, 2024,""166.21"",""166.40"",""164.08"",""165.00"",""164.01"",""67,772,100"""
"Apr 18, 2024,""168.03"",""168.64"",""166.55"",""167.04"",""166.04"",""43,122,900"""
"Apr 17, 2024,""169.61"",""170.65"",""168.00"",""168.00"",""166.99"",""50,901,200"""
"Apr 16, 2024,""171.75"",""173.76"",""168.27"",""169.38"",""168.36"",""73,711,200"""
"Apr 15, 2024,""175.36"",""176.63"",""172.50"",""172.69"",""171.65"",""73,531,800"""
"Apr 12, 2024,""174.26"",""178.36"",""174.21"",""176.55"",""175.49"",""101,593,300"""
"Apr 11, 2024,""168.34"",""175.46"",""168.16"",""175.04"",""173.99"",""91,070,300"""
"Apr 10, 2024,""168.80"",""169.09"",""167.11"",""167.78"",""166.77"",""49,709,300"""
"Apr 9, 2024,""168.70"",""170.08"",""168.35"",""169.67"",""168.65"",""42,451,200"""
"Apr 8, 2024,""169.03"",""169.20"",""168.24"",""168.45"",""167.44"",""37,425,500"""
"Apr 5, 2024,""169.59"",""170.39"",""168.95"",""169.58"",""168.56"",""42,055,200"""
"Apr 4, 2024,""170.29"",""171.92"",""168.82"",""168.82"",""167.81"",""53,704,400"""
"Apr 3, 2024,""168.79"",""170.68"",""168.58"",""169.65"",""168.63"",""47,691,700"""
"Apr 2, 2024,""169.08"",""169.34"",""168.23"",""168.84"",""167.83"",""49,329,500"""
"Apr 1, 2024,""171.19"",""171.25"",""169.48"",""170.03"",""169.01"",""46,240,500"""
"Mar 28, 2024,""171.75"",""172.23"",""170.51"",""171.48"",""170.45"",""65,672,700"""
"Mar 27, 2024,""170.41"",""173.60"",""170.11"",""173.31"",""172.27"",""60,273,300"""
"Mar 26, 2024,""170.00"",""171.42"",""169.58"",""169.71"",""168.69"",""57,388,400"""
"Mar 25, 2024,""170.57"",""171.94"",""169.45"",""170.85"",""169.82"",""54,288,300"""
"Mar 22, 2024,""171.76"",""173.05"",""170.06"",""172.28"",""171.25"",""71,106,600"""
"Mar 21, 2024,""177.05"",""177.49"",""170.84"",""171.37"",""170.34"",""106,181,300"""
"Mar 20, 2024,""175.72"",""178.67"",""175.09"",""178.67"",""177.60"",""53,423,100"""
"Mar 19, 2024,""174.34"",""176.61"",""173.03"",""176.08"",""175.02"",""55,215,200"""
"Mar 18, 2024,""175.57"",""177.71"",""173.52"",""173.72"",""172.68"",""75,604,200"""
"Mar 15, 2024,""171.17"",""172.62"",""170.29"",""172.62"",""171.58"",""121,664,700"""
"Mar 14, 2024,""172.91"",""174.31"",""172.05"",""173.00"",""171.96"",""72,913,500"""
"Mar 13, 2024,""172.77"",""173.19"",""170.76"",""171.13"",""170.10"",""52,488,700"""
"Mar 12, 2024,""173.15"",""174.03"",""171.01"",""173.23"",""172.19"",""59,825,400"""
"Mar 11, 2024,""172.94"",""174.38"",""172.05"",""172.75"",""171.71"",""60,139,500"""
"Mar 8, 2024,""169.00"",""173.70"",""168.94"",""170.73"",""169.71"",""76,114,600"""
"Mar 7, 2024,""169.15"",""170.73"",""168.49"",""169.00"",""167.99"",""71,765,100"""
"Mar 6, 2024,""171.06"",""171.24"",""168.68"",""169.12"",""168.10"",""68,587,700"""
"Mar 5, 2024,""170.76"",""172.04"",""169.62"",""170.12"",""169.10"",""95,132,400"""
"Mar 4, 2024,""176.15"",""176.90"",""173.79"",""175.10"",""174.05"",""81,510,100"""
"Mar 1, 2024,""179.55"",""180.53"",""177.38"",""179.66"",""178.58"",""73,488,000"""
"Feb 29, 2024,""181.27"",""182.57"",""179.53"",""180.75"",""179.66"",""136,682,600"""
"Feb 28, 2024,""182.51"",""183.12"",""180.13"",""181.42"",""180.33"",""48,953,900"""
"Feb 27, 2024,""181.10"",""183.92"",""179.56"",""182.63"",""181.53"",""54,318,900"""
"Feb 26, 2024,""182.24"",""182.76"",""180.65"",""181.16"",""180.07"",""40,867,400"""
"Feb 23, 2024,""185.01"",""185.04"",""182.23"",""182.52"",""181.42"",""45,119,700"""
"Feb 22, 2024,""183.48"",""184.96"",""182.46"",""184.37"",""183.26"",""52,292,200"""
"Feb 21, 2024,""181.94"",""182.89"",""180.66"",""182.32"",""181.23"",""41,529,700"""
"Feb 20, 2024,""181.79"",""182.43"",""180.00"",""181.56"",""180.47"",""53,665,600"""
"Feb 16, 2024,""183.42"",""184.85"",""181.67"",""182.31"",""181.22"",""49,701,400"""
"Feb 15, 2024,""183.55"",""184.49"",""181.35"",""183.86"",""182.76"",""65,434,500"""
"Feb 14, 2024,""185.32"",""185.53"",""182.44"",""184.15"",""183.04"",""54,630,500"""
"Feb 13, 2024,""185.77"",""186.21"",""183.51"",""185.04"",""183.93"",""56,529,500"""
"Feb 12, 2024,""188.42"",""188.67"",""186.79"",""187.15"",""186.03"",""41,781,900"""
"Feb 9, 2024,""0.24"","""","""","""","""","""""
"Feb 9, 2024,""188.65"",""189.99"",""188.00"",""188.85"",""187.72"",""45,155,200"""
"Feb 8, 2024,""189.39"",""189.54"",""187.35"",""188.32"",""186.95"",""40,962,000"""
"Feb 7, 2024,""190.64"",""191.05"",""188.61"",""189.41"",""188.03"",""53,439,000"""
"Feb 6, 2024,""186.86"",""189.31"",""186.77"",""189.30"",""187.92"",""43,490,800"""
"Feb 5, 2024,""188.15"",""189.25"",""185.84"",""187.68"",""186.32"",""69,668,800"""
"Feb 2, 2024,""179.86"",""187.33"",""179.25"",""185.85"",""184.50"",""102,518,000"""
"Feb 1, 2024,""183.99"",""186.95"",""183.82"",""186.86"",""185.50"",""64,885,400"""
"Jan 31, 2024,""187.04"",""187.10"",""184.35"",""184.40"",""183.06"",""55,467,800"""
"Jan 30, 2024,""190.94"",""191.80"",""187.47"",""188.04"",""186.67"",""55,859,400"""
"Jan 29, 2024,""192.01"",""192.20"",""189.58"",""191.73"",""190.34"",""47,145,600"""
"Jan 26, 2024,""194.27"",""194.76"",""191.94"",""192.42"",""191.02"",""44,594,000"""
"Jan 25, 2024,""195.22"",""196.27"",""193.11"",""194.17"",""192.76"",""54,822,100"""
"Jan 24, 2024,""195.42"",""196.38"",""194.34"",""194.50"",""193.09"",""53,631,300"""
"Jan 23, 2024,""195.02"",""195.75"",""193.83"",""195.18"",""193.76"",""42,355,600"""
"Jan 22, 2024,""192.30"",""195.33"",""192.26"",""193.89"",""192.48"",""60,133,900"""
"Jan 19, 2024,""189.33"",""191.95"",""188.82"",""191.56"",""190.17"",""68,741,000"""
"Jan 18, 2024,""186.09"",""189.14"",""185.83"",""188.63"",""187.26"",""78,005,800"""
"Jan 17, 2024,""181.27"",""182.93"",""180.30"",""182.68"",""181.35"",""47,317,400"""
"Jan 16, 2024,""182.16"",""184.26"",""180.93"",""183.63"",""182.30"",""65,603,000"""
"Jan 12, 2024,""186.06"",""186.74"",""185.19"",""185.92"",""184.57"",""40,444,700"""
"Jan 11, 2024,""186.54"",""187.05"",""183.62"",""185.59"",""184.24"",""49,128,400"""
"Jan 10, 2024,""184.35"",""186.40"",""183.92"",""186.19"",""184.84"",""46,792,900"""
"Jan 9, 2024,""183.92"",""185.15"",""182.73"",""185.14"",""183.79"",""42,841,800"""